,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,teamId,towerKills,vilemawKills,winner,gameLength,goldTotal,goldDiff,killTotal,killDiff,towerDiff,inhibitorDiff,baronDiff,dragonDiff
0,1,0,2,True,False,True,False,True,True,0,1,200,4,0,True,22.3833333333,44281,8632,32,15,4,0,1,2
0,0,0,0,False,True,False,False,False,False,0,0,100,0,0,False,22.3833333333,35649,-8632,17,-15,-4,0,-1,-2
0,2,0,2,True,True,True,True,False,True,2,0,200,10,0,True,38.3833333333,73660,17443,34,18,8,2,2,1
0,0,0,1,False,False,False,False,False,False,0,0,100,2,0,False,38.3833333333,56217,-17443,16,-18,-8,-2,-2,-1
0,0,0,4,False,False,True,True,False,False,4,0,200,11,0,True,42.4833333333,81714,5439,46,13,7,4,-1,4
0,1,0,0,True,True,False,False,False,True,0,0,100,4,0,False,42.4833333333,76275,-5439,33,-13,-7,-4,1,-4
0,1,0,1,True,False,False,False,False,True,2,0,200,10,0,True,37.2833333333,75166,1825,41,-6,4,1,1,-2
0,0,0,3,False,True,True,True,False,False,1,0,100,6,0,False,37.2833333333,73341,-1825,47,6,-4,-1,-1,2
0,1,0,1,True,False,False,True,True,True,1,1,100,9,0,True,30.1166666667,60023,11572,29,7,8,1,1,-2
0,0,0,3,False,True,True,False,False,False,0,0,200,1,0,False,30.1166666667,48451,-11572,22,-7,-8,-1,-1,2
0,0,0,2,False,True,False,True,False,True,3,0,100,10,0,True,37.8833333333,74144,7805,39,5,7,3,0,0
0,0,0,2,False,False,True,False,False,False,0,0,200,3,0,False,37.8833333333,66339,-7805,34,-5,-7,-3,0,0
0,1,0,4,True,True,True,True,False,True,4,0,200,11,0,True,38.6833333333,73705,6391,29,-4,6,4,1,4
0,0,0,0,False,False,False,False,False,False,0,0,100,5,0,False,38.6833333333,67314,-6391,33,4,-6,-4,-1,-4
0,1,0,4,True,True,True,True,False,True,4,0,200,11,0,True,39.6666666667,81484,12603,35,-2,9,4,1,4
0,0,0,0,False,False,False,False,False,False,0,0,100,2,0,False,39.6666666667,68881,-12603,37,2,-9,-4,-1,-4
0,0,0,2,False,False,True,False,False,True,0,0,200,7,0,True,29.7,57294,12518,34,16,6,0,0,2
0,0,0,0,False,True,False,False,False,False,0,0,100,1,0,False,29.7,44776,-12518,18,-16,-6,0,0,-2
0,1,0,2,True,False,True,True,False,True,3,0,200,11,0,True,33.4,66383,11866,35,8,8,3,1,1
0,0,0,1,False,True,False,False,False,False,0,0,100,3,0,False,33.4,54517,-11866,27,-8,-8,-3,-1,-1
0,0,0,2,False,False,False,True,False,True,2,0,100,10,0,True,30.8666666667,59607,15988,26,10,9,2,0,1
0,0,0,1,False,True,True,False,False,False,0,0,200,1,0,False,30.8666666667,43619,-15988,16,-10,-9,-2,0,-1
0,1,0,1,False,True,False,False,False,False,1,0,200,9,0,True,43.0166666667,85068,5668,45,2,1,0,-1,-3
0,2,0,4,True,False,True,True,True,True,1,1,100,8,0,False,43.0166666667,79400,-5668,43,-2,-1,0,1,3
0,1,0,2,True,True,True,True,False,True,1,0,100,7,0,True,24.7166666667,49128,9544,22,6,6,1,1,2
0,0,0,0,False,False,False,False,False,False,0,0,200,1,0,False,24.7166666667,39584,-9544,16,-6,-6,-1,-1,-2
0,0,0,4,False,True,True,True,False,True,1,0,100,7,0,True,39.1833333333,74581,4968,39,-2,4,1,0,4
0,0,0,0,False,False,False,False,True,False,0,1,200,3,0,False,39.1833333333,69613,-4968,41,2,-4,-1,0,-4
0,0,0,4,False,False,False,True,False,False,2,0,200,10,0,True,35.5333333333,73890,6247,48,15,5,2,-2,3
0,2,0,1,True,True,True,False,True,True,0,1,100,5,0,False,35.5333333333,67643,-6247,33,-15,-5,-2,2,-3
0,0,0,2,False,False,False,True,False,True,3,0,200,9,0,True,30.2333333333,61019,16122,38,20,8,3,0,1
0,0,0,1,False,True,True,False,False,False,0,0,100,1,0,False,30.2333333333,44897,-16122,18,-20,-8,-3,0,-1
0,1,0,2,True,False,False,True,False,True,5,0,200,10,0,True,38.2666666667,77997,8147,46,18,6,5,1,-1
0,0,0,3,False,True,True,False,False,False,0,0,100,4,0,False,38.2666666667,69850,-8147,28,-18,-6,-5,-1,1
0,0,0,2,False,True,True,False,True,True,0,1,100,5,0,True,20.6,40978,13966,26,18,5,0,0,2
0,0,0,0,False,False,False,False,False,False,0,0,200,0,0,False,20.6,27012,-13966,8,-18,-5,0,0,-2
0,0,0,2,False,False,True,True,False,True,2,0,200,9,0,True,20.6833333333,47159,17464,30,21,9,2,0,2
0,0,0,0,False,True,False,False,False,False,0,0,100,0,0,False,20.6833333333,29695,-17464,9,-21,-9,-2,0,-2
0,1,0,3,True,True,True,False,False,False,3,0,100,10,0,True,44.8333333333,88550,12523,42,10,5,1,1,2
0,0,0,1,False,False,False,True,False,True,2,0,200,5,0,False,44.8333333333,76027,-12523,32,-10,-5,-1,-1,-2
0,1,0,2,True,True,True,True,False,True,1,0,100,9,0,True,26.9,57525,16521,36,21,8,1,1,2
0,0,0,0,False,False,False,False,False,False,0,0,200,1,0,False,26.9,41004,-16521,15,-21,-8,-1,-1,-2
0,1,0,4,True,True,True,True,False,True,2,0,200,9,0,True,35.8333333333,74456,13328,49,25,5,2,1,4
0,0,0,0,False,False,False,False,False,False,0,0,100,4,0,False,35.8333333333,61128,-13328,24,-25,-5,-2,-1,-4
0,1,0,3,True,False,True,True,False,False,1,0,100,7,0,True,35.0833333333,68932,3932,45,4,2,1,1,2
0,0,0,1,False,True,False,False,False,True,0,0,200,5,0,False,35.0833333333,65000,-3932,41,-4,-2,-1,-1,-2
0,0,0,1,False,True,True,False,False,True,0,0,100,5,0,True,21.4166666667,43630,14400,24,17,5,0,0,1
0,0,0,0,False,False,False,False,False,False,0,0,200,0,0,False,21.4166666667,29230,-14400,7,-17,-5,0,0,-1
0,1,0,3,True,False,True,True,False,True,3,0,100,11,0,True,32.1666666667,64418,14009,43,20,9,3,1,3
0,0,0,0,False,True,False,False,False,False,0,0,200,2,0,False,32.1666666667,50409,-14009,23,-20,-9,-3,-1,-3
0,0,0,2,False,False,True,False,True,True,0,1,200,4,0,True,21.55,37254,9842,21,13,4,0,0,2
0,0,0,0,False,True,False,False,False,False,0,0,100,0,0,False,21.55,27412,-9842,8,-13,-4,0,0,-2
0,1,0,3,True,True,True,True,True,True,3,1,200,11,0,True,35.4,69739,17098,35,18,9,3,1,1
0,0,0,2,False,False,False,False,False,False,0,0,100,2,0,False,35.4,52641,-17098,17,-18,-9,-3,-1,-1
0,0,0,1,False,False,False,False,False,False,2,0,200,7,0,True,45.0166666667,82411,-4219,43,1,-4,-2,-2,-3
0,2,0,4,True,True,True,True,False,True,4,0,100,11,0,False,45.0166666667,86630,4219,42,-1,4,2,2,3
0,0,0,2,False,False,True,True,False,True,3,0,200,10,0,True,42.9333333333,82375,12125,53,27,7,3,-1,1
0,1,0,1,True,True,False,False,False,False,0,0,100,3,0,False,42.9333333333,70250,-12125,26,-27,-7,-3,1,-1
0,0,0,3,False,True,False,True,False,True,1,0,200,8,0,True,32.3333333333,63163,10152,40,14,4,1,0,2
0,0,0,1,False,False,True,False,False,False,0,0,100,4,0,False,32.3333333333,53011,-10152,26,-14,-4,-1,0,-2
0,1,0,3,True,True,True,True,False,False,2,0,200,10,0,True,52.3833333333,98401,7661,49,14,3,1,1,2
0,0,0,1,False,False,False,False,False,True,1,0,100,7,0,False,52.3833333333,90740,-7661,35,-14,-3,-1,-1,-2
